epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,4143.47,0.01211,1.19963,1.14993,0.82876,0.9567,0.96661,0.79629,0.00997,0.74696,0.95936,0.0013672,0.0013672,0.0013672
155,4170.25,0.0116,1.16737,1.12693,0.82145,0.98557,0.96491,0.81408,0.00888,0.68896,0.92708,0.00135994,0.00135994,0.00135994
156,4197.04,0.01196,1.20662,1.14299,0.84356,0.94503,0.96895,0.83744,0.008,0.67472,0.88766,0.00135266,0.00135266,0.00135266
157,4223.79,0.01169,1.15779,1.123,0.88031,0.90928,0.97028,0.83008,0.00831,0.686,0.88855,0.00134535,0.00134535,0.00134535
158,4250.59,0.01134,1.10898,1.11292,0.8844,0.89911,0.96605,0.81812,0.00876,0.72499,0.91069,0.00133802,0.00133802,0.00133802
159,4277.35,0.01154,1.14344,1.11259,0.82342,0.97526,0.9696,0.83564,0.00813,0.66471,0.88674,0.00133068,0.00133068,0.00133068
160,4304.16,0.0115,1.1419,1.12301,0.82996,0.97526,0.96985,0.83892,0.00825,0.67569,0.88674,0.00132331,0.00132331,0.00132331
161,4330.98,0.01138,1.15508,1.11224,0.84668,0.95641,0.97143,0.81506,0.00926,0.68704,0.91909,0.00131593,0.00131593,0.00131593
162,4357.81,0.01141,1.12589,1.11944,0.84795,0.94021,0.97259,0.82509,0.00869,0.67507,0.90376,0.00130852,0.00130852,0.00130852
163,4384.61,0.01138,1.12741,1.11812,0.85584,0.96702,0.97338,0.82866,0.00864,0.67765,0.91168,0.0013011,0.0013011,0.0013011
164,4411.44,0.01115,1.12529,1.10762,0.83655,0.98144,0.96795,0.81517,0.0091,0.67759,0.91596,0.00129366,0.00129366,0.00129366
165,4438.26,0.0115,1.15621,1.11976,0.84037,0.96603,0.97045,0.82222,0.00924,0.67347,0.93023,0.0012862,0.0012862,0.0012862
166,4465.04,0.01146,1.13554,1.12257,0.85634,0.97098,0.97613,0.85583,0.00744,0.64228,0.87538,0.00127873,0.00127873,0.00127873
167,4491.83,0.01134,1.08262,1.10503,0.82673,0.99381,0.97129,0.81813,0.00929,0.69061,0.92626,0.00127123,0.00127123,0.00127123
168,4518.72,0.0113,1.14274,1.11884,0.82702,0.98763,0.96496,0.83831,0.00795,0.65942,0.8833,0.00126373,0.00126373,0.00126373
169,4545.6,0.01126,1.11928,1.1099,0.85321,0.97072,0.97514,0.83875,0.00862,0.65587,0.89732,0.0012562,0.0012562,0.0012562
170,4572.45,0.01125,1.11673,1.11247,0.82771,0.99054,0.9693,0.82716,0.0087,0.67066,0.90799,0.00124866,0.00124866,0.00124866
171,4599.36,0.01122,1.11039,1.1085,0.83178,0.99175,0.96948,0.84726,0.0077,0.64738,0.88502,0.00124111,0.00124111,0.00124111
172,4626.09,0.01112,1.09142,1.09501,0.90937,0.89072,0.96863,0.81827,0.00925,0.70131,0.92364,0.00123354,0.00123354,0.00123354
173,4652.81,0.01112,1.1199,1.10453,0.82159,0.9875,0.9702,0.82793,0.00878,0.66032,0.90519,0.00122596,0.00122596,0.00122596
174,4679.6,0.01123,1.12602,1.11708,0.81985,0.97584,0.96847,0.82362,0.00917,0.68358,0.91824,0.00121837,0.00121837,0.00121837
175,4706.4,0.01139,1.11316,1.11902,0.82759,0.9798,0.9707,0.8401,0.00799,0.65523,0.88987,0.00121076,0.00121076,0.00121076
176,4733.13,0.01111,1.11335,1.09831,0.81684,0.9839,0.97176,0.84781,0.00787,0.64118,0.88417,0.00120314,0.00120314,0.00120314
177,4760.03,0.01121,1.11378,1.10835,0.84411,0.96289,0.96969,0.82153,0.00877,0.68623,0.912,0.00119551,0.00119551,0.00119551
